feature,mean_importance,std_importance,mean_rank
f257,0.000454,0.000215,418.67
f258,0.000741,0.000105,273.67
f259,0.000444,0.000193,424.33
f260,0.000159,0.000048,605.33
f261,0.000352,0.000274,491.33
f262,0.000871,0.000144,241.67
f263,0.001771,0.000343,135.33
f264,0.001530,0.000713,191.33
f265,0.000830,0.000213,260.33
f266,0.000304,0.000119,492.67
f267,0.001602,0.000601,166.67
f268,0.000170,0.000077,605.00
f269,0.000980,0.000108,220.00
f270,0.000921,0.000172,234.00
f271,0.000767,0.000269,288.33
f272,0.000376,0.000160,458.67
f273,0.000269,0.000095,521.00
f274,0.000551,0.000115,353.33
f275,0.000605,0.000289,358.00
f276,0.000900,0.000319,255.00
f277,0.000999,0.000325,231.33
f278,0.000906,0.000451,275.67
f279,0.001690,0.000535,151.00
f280,0.000157,0.000048,609.00
f281,0.001200,0.000532,217.33
f282,0.000303,0.000102,501.33
f283,0.000276,0.000114,521.00
f284,0.000346,0.000016,466.00
